Id,Age,Income,Home,Emp_length,Intent,Amount,Rate,Status,Percent_income,PREVIOUS LOANS,Cred_length,DATE
0,22,59000,RENT,123,PERSONAL,35000,16.02,1,59.00%,Y,3,10-05-2025
1,21,9600,OWN,5,EDUCATION,1000,11.14,0,10.00%,N,2,31-12-2025
2,25,9600,MORTGAGE,1,MEDICAL,5500,12.87,1,57.00%,N,3,10-11-2025
3,23,65500,RENT,4,MEDICAL,35000,15.23,1,53.00%,N,2,02-05-2023
4,24,54400,RENT,8,MEDICAL,35000,14.27,1,55.00%,Y,4,11-04-2024
5,21,9900,OWN,2,VENTURE,2500,7.14,1,25.00%,N,2,27-11-2023
6,26,77100,RENT,8,EDUCATION,35000,12.42,1,45.00%,N,3,29-03-2023
7,24,78956,RENT,5,MEDICAL,35000,11.11,1,44.00%,N,4,21-05-2025
8,24,83000,RENT,8,PERSONAL,35000,8.9,1,42.00%,N,2,11-05-2023
9,21,10000,OWN,6,VENTURE,1600,14.74,1,16.00%,N,3,08-02-2025
10,22,85000,RENT,6,VENTURE,35000,10.37,1,41.00%,N,4,10-12-2023
11,21,10000,OWN,2,HOMEIMPROVEMENT,4500,8.63,1,45.00%,N,2,16-03-2025
12,23,95000,RENT,2,VENTURE,35000,7.9,1,37.00%,N,2,21-01-2024
13,26,108160,RENT,4,EDUCATION,35000,18.39,1,32.00%,N,4,13-08-2025
14,23,115000,RENT,2,EDUCATION,35000,7.9,0,30.00%,N,4,04-10-2023
15,23,500000,MORTGAGE,7,DEBTCONSOLIDATION,30000,10.65,0,6.00%,N,3,04-04-2024
16,23,120000,RENT,0,EDUCATION,35000,7.9,0,29.00%,N,4,22-01-2023
17,23,92111,RENT,7,MEDICAL,35000,20.25,1,32.00%,N,4,10-09-2023
18,23,113000,RENT,8,DEBTCONSOLIDATION,35000,18.25,1,31.00%,N,4,17-01-2025
19,24,10800,MORTGAGE,8,EDUCATION,1750,10.99,1,16.00%,N,2,06-05-2025
20,25,162500,RENT,2,VENTURE,35000,7.49,0,22.00%,N,4,19-04-2024
21,25,137000,RENT,9,PERSONAL,34800,16.77,0,25.00%,Y,2,18-12-2025
22,22,65000,RENT,4,EDUCATION,34000,17.58,1,52.00%,N,4,25-05-2024
23,24,10980,OWN,0,PERSONAL,1500,7.29,0,14.00%,N,3,30-11-2024
24,22,80000,RENT,3,PERSONAL,33950,14.54,1,42.00%,Y,4,02-09-2025
25,24,67746,RENT,8,HOMEIMPROVEMENT,33000,12.68,1,49.00%,N,3,09-07-2023
26,21,11000,MORTGAGE,3,VENTURE,4575,17.74,1,42.00%,Y,3,15-08-2025
27,23,11000,OWN,0,PERSONAL,1400,9.32,0,13.00%,N,3,17-11-2024
28,24,65000,RENT,6,HOMEIMPROVEMENT,32500,9.99,1,50.00%,N,3,15-08-2025
29,21,11389,OTHER,5,EDUCATION,4000,12.84,1,35.00%,Y,2,16-07-2024
30,21,11520,OWN,5,MEDICAL,2000,11.12,1,17.00%,N,3,11-04-2025
31,25,120000,RENT,2,VENTURE,32000,6.62,0,27.00%,N,2,08-10-2024
